,time,latitude,longitude,fgco2,fgco2_uncertainty,omega_ar,omega_ar_uncertainty,omega_ca,omega_ca_uncertainty,ph,ph_uncertainty,spco2,spco2_uncertainty,talk,talk_uncertainty,tco2,tco2_uncertainty
0,2018-02-01,0.125,98.625,,,,,,,,,,,,,,
1,2018-02-01,0.125,98.875,-0.05026202,0.10517622,3.5162153,0.26254162,5.2676606,0.39310604,8.020248,0.024352433,413.1687,26.01402,2211.7231,43.853138,1907.558,38.603043
2,2018-02-01,0.125,99.125,-0.03760974,0.082471654,3.5309818,0.26293448,5.286984,0.39346325,8.019938,0.02336769,413.0672,24.516605,2210.3027,46.487198,1905.1234,40.340298
3,2018-02-01,0.125,99.375,,,,,,,,,,,,,,
4,2018-02-01,0.125,99.625,,,,,,,,,,,,,,
5,2018-02-01,0.125,99.875,,,,,,,,,,,,,,
6,2018-02-01,0.125,100.125,,,,,,,,,,,,,,
7,2018-02-01,0.125,100.375,,,,,,,,,,,,,,
8,2018-02-01,0.125,100.625,,,,,,,,,,,,,,
9,2018-02-01,0.125,100.875,,,,,,,,,,,,,,
10,2018-02-01,0.125,101.125,,,,,,,,,,,,,,
11,2018-02-01,0.125,101.375,,,,,,,,,,,,,,
12,2018-02-01,0.125,101.625,,,,,,,,,,,,,,
13,2018-02-01,0.125,101.875,,,,,,,,,,,,,,
14,2018-02-01,0.125,102.125,,,,,,,,,,,,,,
15,2018-02-01,0.125,102.375,,,,,,,,,,,,,,
16,2018-02-01,0.125,102.625,,,,,,,,,,,,,,
17,2018-02-01,0.125,102.875,,,,,,,,,,,,,,
18,2018-02-01,0.125,103.125,,,,,,,,,,,,,,
19,2018-02-01,0.125,103.375,,,,,,,,,,,,,,
20,2018-02-01,0.125,103.625,,,,,,,,,,,,,,
21,2018-02-01,0.125,103.875,,,,,,,,,,,,,,
22,2018-02-01,0.125,104.125,0.50962114,0.9845356,3.2486908,0.26464844,4.9135294,0.3999713,8.039098,0.029509254,385.36465,29.989977,2132.1677,45.38106,1850.6223,40.64228
23,2018-02-01,0.125,104.375,,,,,,,,,,,,,,
24,2018-02-01,0.125,104.625,,,,,,,,,,,,,,
25,2018-02-01,0.125,104.875,,,,,,,,,,,,,,
26,2018-02-01,0.125,105.125,0.47515994,0.98764026,3.2263613,0.2501565,4.886184,0.37862033,8.0423355,0.027947001,383.02594,28.36997,2136.7732,38.483337,1856.4398,35.21856
27,2018-02-01,0.125,105.375,0.51726365,0.90481436,3.2538085,0.24086463,4.9253907,0.36439532,8.043744,0.025682326,381.91855,25.832516,2141.0642,36.08497,1858.3047,32.8991
28,2018-02-01,0.125,105.625,0.52284044,0.87744963,3.249871,0.23784035,4.9204893,0.35991615,8.044218,0.025457893,381.4734,25.650381,2140.5442,34.01398,1858.1552,31.333298
29,2018-02-01,0.125,105.875,0.5245611,0.82512045,3.2595158,0.23447584,4.934501,0.35478583,8.044842,0.024463326,381.2584,24.524342,2144.5254,33.43238,1861.0781,30.68336
30,2018-02-01,0.125,106.125,0.54739016,0.79437596,3.257911,0.22983551,4.932629,0.34783465,8.04545,0.023867037,380.41226,23.946836,2142.8726,30.231058,1859.5454,28.247221
